HYG_ID,Name,Code,X,Y,3D_X,3D_Y,3D_Z,Spectrum,AbsMag,ColorIndex,Habitable
31601,Alhena,HIP 31681,615,96,-5.04957,30.40998,9.07235,A0IV,-0.604802058412,0.001,False
62758,Alioth,HIP 62956,473,480,-13.50599,-3.24419,20.56192,A0p,-0.213474769294,-0.022,False
108923,Alnair,HIP 109268,120,217,18.74799,-9.94423,-22.72651,B7IV,-0.733419799618,-0.07,False
21717,Alpha Caeli,HIP 21770,758,147,5.09346,14.10202,-13.43586,F2V,2.92047079998,0.342,False
118328,Alpha Caeli B,Gl 174.1B,758,147,5.09311,14.10255,-13.43542,,10.9804708,None,False
62926,Alpha Canum Venaticorum A,HIP 63125,500,458,-25.71784,-6.41583,20.94692,A0spe...,0.246458555295,-0.115,False
62922,Alpha Canum Venaticorum B,HIP 63121,488,451,-19.05638,-4.75217,15.5189,F0V,3.61758391825,0.337,False
71457,Rigel Kentaurus A,HIP 71683,411,314,-0.50362,-0.42139,-1.17665,G2V,4.34237067952,0.71,False
71454,Rigel Kentaurus B,HIP 71681,411,314,-0.50359,-0.42128,-1.1767,K1V,5.70237067952,0.9,False
40587,Alpha Chamaeleontis,HIP 40702,827,265,-2.5021,3.6229,-18.95048,F5III,2.60481559498,0.413,False
71683,Alpha Circini,HIP 71908,22,332,-5.26576,-4.51774,-14.86173,F1Vp,2.10558097511,0.256,False
64038,Alpha Comae Berenices,HIP 64241,471,395,-13.02735,-4.10703,4.31443,F5V,3.53958819003,0.455,False
118870,Alpha Comae Berenices B,HD 114379,471,395,-13.02724,-4.10791,4.31391,F5 V,4.38958819003,None,False
59021,Alpha Corvi,HIP 59199,799,537,-13.40549,-0.49229,-6.17816,F0IV/V,3.17326406899,0.334,False
14843,Alpha Fornacis,HIP 14879,766,96,8.25704,9.17611,-6.83944,F8V,3.05200573999,0.543,False
118198,Alpha Fornacis B,Gl 127  B,766,96,8.25731,9.17489,-6.84076,G7 V,5.95200573999,None,False
9217,Alpha Hydri,HIP 9236,11,162,9.04196,5.15559,-19.22603,F0V,1.16148080135,0.29,False
