,﻿hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
3559,57829,Phad,HIP 58001,507,485,-15.18011,0.40883,20.66873,A0V SB,0.36476617594000005,0.044,False,True,True,True,True,A,V
3560,101286,Phi 1 Pavonis,HIP 101612,95,266,8.50327,-10.54015,-24.015810000000002,F1III,2.5477377779,0.291,False,True,True,True,True,F,I
3561,101655,Phi 2 Pavonis,HIP 101983,95,267,7.64872,-9.11234,-21.06856,F8V,3.1913270264099998,0.544,False,True,True,True,True,F,V
3562,114693,Phi Gruis,HIP 115054,118,175,25.757939999999998,-4.75499,-22.628529999999998,F5V,2.84373770922,0.445,False,True,True,True,True,F,V
3563,33215,Pi Canis Majoris,HIP 33302,676,220,-6.59563,26.6401,-10.06312,F2IV/V,2.33076537093,0.374,False,True,True,True,True,F,V
3564,68676,Pi Hydrae,HIP 68895,13,442,-23.65829,-14.55057,-13.9583,K2III,0.78725530451,1.091,False,True,True,True,True,K,I
3565,26330,Pi Mensae,HIP 26394,839,251,0.30006,2.99914,-17.95709,G3IV,4.348652642819999,0.6,False,True,True,True,True,G,V
3566,113501,Pi Piscis Austrini,HIP 113860,148,178,22.77887,-5.73264,-16.29477,A9V,2.83909902571,0.305,False,True,True,True,True,A,V
3567,7521,Pi Piscium,HIP 7535,398,153,30.128220000000002,13.58748,7.11044,F0V,2.8949908483,0.347,False,True,True,True,True,F,V
3568,37718,Pollux,HIP 37826,528,312,-4.0473099999999995,8.17808,4.85711,K0IIIVAR,1.08803041526,0.991,False,True,True,True,True,K,V
3569,61749,Porrima,HIP 61941,779,552,-11.63142,-2.13826,-0.29925,F0V+...,2.37505434488,0.368,False,True,True,True,True,F,V
3570,37173,Procyon,HIP 37279,467,310,-1.4623700000000002,3.16092,0.31864000000000003,F5IV-V,2.68129862133,0.432,False,True,True,True,True,F,V
3572,70667,Proxima Centauri,HIP 70890,411,313,-0.47175,-0.36132,-1.1503700000000001,M5VE,15.449014523399999,1.807,False,True,True,True,True,M,V
3573,102155,Psi Capricorni,HIP 102485,224,290,8.79537,-9.932960000000001,-6.26309,F5V,3.29764790879,0.426,False,True,True,True,True,F,V
3574,76817,Psi Serpentis,HIP 77052,112,502,-8.19458,-12.15248,0.6439199999999999,G5V,5.02764790879,0.684,False,True,True,True,True,G,V
3575,19157,Psi Tauri,HIP 19205,530,112,11.4159,21.24794,13.37091,F1V,3.0071389988,0.359,False,True,True,True,True,F,V
3576,46518,Psi Velorum,HIP 46651,749,307,-11.22627,8.55972,-12.0432,F2IV,2.2575409179799997,0.371,False,True,True,True,True,F,V
3577,118633,Psi Velorum B,Gl 351  B,749,307,-11.22686,8.55906,-12.04313,F0 IV,3.30754091798,None,False,True,True,True,True,F,V
3578,111580,QQ Pegasi,HIP 111932,248,85,22.42448,-8.12293,3.31025,M0V:,9.85180965555,1.433,False,True,True,True,True,M,V
3579,34511,QY Aurigae,HIP 34603,483,310,-1.49674,4.74446,3.96176,M5VE,12.6328151757,1.7,False,True,True,True,True,M,V
3580,72087,QY Virginis,HIP 72312,78,488,-14.64279,-13.10035,0.9277299999999999,G8V,6.29102770941,0.893,False,True,True,True,True,G,V
3581,93157,R Coronae Australis,HIP 93449,92,586,1.7511700000000001,-6.325830000000001,-4.9375599999999995,A5IIEVAR,11.997344849400001,None,False,True,True,True,True,A,V
3582,29495,RAG 5A,HIP 29568,692,181,-0.91579,15.239970000000001,-6.75356,G5V,5.25713411195,0.713,False,True,True,True,True,G,V
3583,37745,RAG 6A,HIP 37853,702,252,-5.5906199999999995,11.263919999999999,-8.53845,G0V,4.45079943199,0.589,False,True,True,True,True,G,V
3584,48941,RAG 7A,HIP 49081,549,378,-10.975710000000001,6.27205,7.8761399999999995,G1V,4.50490668456,0.676,False,True,True,True,True,G,V
3585,80096,RAG 8A,HIP 80337,69,545,-4.05671,-9.11373,-8.13405,G3/G5V,4.82182560724,0.625,False,True,True,True,True,G,V
3588,103123,RAO 24,HIP 103455,272,591,20.8181,-21.24793,14.76954,G0V,4.32355377756,0.584,False,True,True,True,True,G,V
3590,26316,RBR 15,HIP 26381,586,121,3.10934,30.93614,11.768419999999999,G4IV-V,5.0713891596,0.667,False,True,True,True,True,G,V
3591,104190,RBS 1730,HIP 104526,108,248,13.840420000000002,-12.63578,-26.34535,K1/2(V) + F,4.521899600019999,0.687,False,True,True,True,True,K,V
3593,114017,RBS 1956,HIP 114378,280,94,24.44963,-5.425619999999999,6.442769999999999,G0V,4.476870860369999,0.607,False,True,True,True,True,G,V
3594,115698,RBS 2015,HIP 116063,55,212,10.71288,-1.3608200000000001,-28.24486,G0V,4.69717097457,0.595,False,True,True,True,True,G,V
3596,8025,RBS 236,HIP 8039,136,137,27.367990000000002,13.23584,-12.04856,K0V,5.65718740538,0.853,False,True,True,True,True,K,V
3597,9256,RBS 262,HIP 9275,416,169,25.831220000000002,14.79425,1.8306799999999999,M1V:,8.51716776714,1.47,False,True,True,True,True,M,V
3598,10654,RBS 303,HIP 10679,443,123,24.62116,16.82871,16.355970000000003,G2V,5.09173665206,0.622,False,True,True,True,True,G,V
3600,1291,RBS 36,HIP 1292,20,249,3.09669,0.21908000000000002,-17.342370000000003,G6V,5.3602119339300005,0.749,False,True,True,True,True,G,V
3603,18946,RBS 506,HIP 18993,551,158,16.75086,30.270159999999997,1.7085099999999998,F6IV,2.6622339193999998,0.505,False,True,True,True,True,F,V
3607,43287,RBS 726,HIP 43410,598,535,-16.2422,17.64196,15.74319,F7VN,3.93163691387,0.549,False,True,True,True,True,F,V
3609,44769,RBS 744,HIP 44897,614,548,-11.6605,10.792689999999999,10.66969,F9V,4.54043147392,0.585,False,True,True,True,True,F,V
3612,51354,RBS 876,HIP 51502,457,543,-2.5760099999999997,1.05277,21.30592,F2V,3.5891318947500004,0.399,False,True,True,True,True,F,V
3616,20500,RMK 4,HIP 20552,805,175,5.97659,13.456079999999998,-22.734189999999998,G4V+...,4.11630846177,0.659,False,True,True,True,True,G,V
