hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
118759,88 Leonis B,GJ 3670 B,650,464,-23.44835,2.90334,6.05219,K6 IV,7.2839192836,1.14,False,True,True,True,True,K,V
56277,89 Leonis,HIP 56445,702,464,-26.35683,2.96016,1.41803,F5V,3.6388249027,0.48,False,True,True,True,True,F,V
23728,9 Aurigae,HIP 23783,525,38,3.7552,15.84782,20.54728,F0V,2.8869034436,0.343,False,True,True,True,True,F,V
72397,9 Librae,HIP 72622,57,462,-16.71175,-15.43191,-6.54048,A3IV,0.8791335664,0.147,False,True,True,True,True,A,V
38273,9 Puppis,HIP 38382,636,279,-7.58382,14.29733,-4.00434,G2V,4.0500323071,0.6,False,True,True,True,True,G,V
118506,9 Puppis B,Gl 291  B,636,279,-7.58378,14.29782,-4.00267,G4 V,5.0600323071,0.65,False,True,True,True,True,G,V
114765,94 Aquarii,HIP 115126,221,152,19.8486,-3.57951,-4.82662,G6/G8IV,3.6161360302,0.787,False,True,True,True,True,G,V
119562,94 Aquarii B,Gl 894.2B,221,152,19.84882,-3.58071,-4.82481,K2 V,6.0261360302,0.91,False,True,True,True,True,K,V
14917,94 Ceti,HIP 14954,476,186,14.91336,16.67559,-0.46702,F8V,3.3210517733,0.575,False,True,True,True,True,F,V
114780,96 Aquarii,HIP 115142,240,144,34.13697,-6.11182,-3.10991,F3IV,2.8509221779,0.386,False,True,True,True,True,F,V
112556,A 632,HIP 112915,368,0,12.40624,-3.79232,20.53496,K5III,6.082904335,1.043,False,True,True,True,True,K,I
74310,A 691,HIP 74537,92,490,-11.4687,-12.94714,-0.40765,K0V,5.3896391921,0.763,False,True,True,True,True,K,V
53846,AB Crateris,HIP 54002,712,430,-29.21587,7.44197,-4.95338,K3V,6.6047300265,0.971,True,True,True,True,True,K,V
25583,AB Doradus,HIP 25647,800,84,0.84409,6.15132,-13.59221,K1III(P),6.0077796615,0.83,False,True,True,True,True,K,I
118677,AD Leonis,Gl 388,476,328,-4.17713,1.95586,1.66701,M4.5VE,10.9470861289,1.54,False,True,True,True,True,M,V
4845,ADS 860,HIP 4855,146,139,28.56127,7.98246,-11.74784,K0V,5.3911877258,0.799,False,True,True,True,True,K,V
25423,AF Leporis,HIP 25486,654,170,3.75935,25.99109,-5.53458,F7V:,4.1562142528,0.553,False,True,True,True,True,F,V
19200,AG Doradus,HIP 19248,808,170,9.99448,18.69529,-27.69814,K1VP,5.8771384647,0.944,False,True,True,True,True,K,V
16206,AK Fornacis,HIP 16247,734,146,17.67524,22.90602,-12.94288,K4V,6.6449968179,1.02,False,True,True,True,True,K,V
118393,AK Leporis,HD 38392,739,59,0.56207,8.27265,-3.42018,K2 V,6.3661795773,0.94,False,True,True,True,True,K,V
31631,AK Pictoris,HIP 31711,787,226,-1.70494,10.18644,-19.04867,G1/G2V,4.4708585268,0.624,False,True,True,True,True,G,V
15293,ALB 1B,HIP 15330,823,68,3.6299,4.24036,-10.75784,G2V,5.1125329356,0.641,False,True,True,True,True,G,V
78675,AT Coronae Borealis,HIP 78913,351,454,-8.72128,-16.1449,14.66612,K3V,6.7255182509,0.963,True,True,True,True,True,K,V
102079,AU Microscopii,HIP 102409,112,6,5.60274,-6.37996,-5.17065,M1VE,8.8227740407,1.47,False,True,True,True,True,M,V
104752,Lacaille 8760,HIP 105090,89,597,2.33065,-2.00299,-2.47654,M1/M2V,8.7087759571,1.397,True,True,True,True,True,M,V
107363,AY Indi,HIP 107705,49,262,4.16996,-2.67995,-15.34845,M2VE,8.4919584475,1.42,False,True,True,True,True,M,V
10195,AZ Arietis,HIP 10218,436,141,25.43343,16.41948,11.8501,G5V,4.7699316557,0.677,False,True,True,True,True,G,V
